鄭天財,中國國民黨,連任，第二次當選,平地原住民選舉區
廖國棟,中國國民黨,連任，第五次當選,平地原住民選舉區
陳瑩,民主進步黨,新任，第三次當選,平地原住民選舉區
高金素梅,無黨團結聯盟,連任，第五次當選,山地原住民選舉區
簡東明,中國國民黨,連任，第三次當選,山地原住民選舉區
孔文吉,中國國民黨,連任，第四次當選,山地原住民選舉區
